;;;;;;
;INVENTARIO BODEGA;;Fecha:     ;;;
;;;;;;
;;;;;;
;PRODUCTOS;UNIDAD;STOCK  CRITICO;STOCK SEMANA;PEDIDO SEMANA;COMENTARIO
;;;;;;
;;;;;;
;MARISCOS Y PESCADOS;;;;;
;ALBACORA;KG;;;;
;ALMEJAS;BOLSAS;10;;;
 ;CALAMAR;KG;10;;;
 ;CALDOSO ;PORCION;20;;;
 ;CAMARON ECUATORIANO;KG;10;;;
;CAMARON NACIONAL;KG;10;;;
;CAMARON NACIONAL PORCION;PORCION;10;;;
;CARNE DE CENTOLLA;KG;2;;;
;CARNE DE JAIBA;KG;10;;;
;CEBICHE DE 150;PORCION;10;;;
;CEBICHE DE 200;PORCION;10;;;
;CHOLGAS;KG;10;;;
 ;CHORITOS;BOLSAS;10;;;
 ;CHORO MALTON;BOLSAS;10;;;
;COCHAYUYO ;PORCION;40;;;
;CONGRIO CALDILLO;PORCION;6;;;
;CONGRIO FILETE;UNIDAD;15;;;
;CONGRIO FRESCO;KG;15;;;
;CONGRIO HGT;KG;20;;;
;CONGRIO MEDALLON;PORCION;20;;;
;CORVINA;KG;30;;;
;FETTUCCINNI GAMBERI;PORCION;;;;
;LANGOSTINOS;KG;2;;;
;LOCOS FRASCOS;UNIDAD;12;;;
;LOCOS FRESCOS ENTRADA;DOCENA;0;;;
;LOCOS PARA PICAR (SALSA);KG;4;;;
;MACHAS 1/2 CONCHA ;BANDEJA;100;;;
;MACHAS LENGUA;KG;50;;;
;MACHAS LENGUA (SUCIA);KG;50;;;
;NAVAJUELAS;KG;50;;;
;OSTION A GRANEL BOLSA;KG;1;;;
;OSTION CONCHA ;BANDEJA;40;;;
;PEJERREY;KG;0;;;
;PINZAS DE JAIBA;KG;0;;;
;PULPO;UNIDAD;2;;;
;REINETA ENTERA;UNIDAD;20;;;
;REINETA FILETE;PORCION;20;;;
;SALMON  ENTERO (AL VACIO);KG;15;;;
;SALMON FILETE;PORCION;35;;;
;SOPA MARINA;PORCION;20;;;
;SURTIDO DE MARISCOS;KG;5;;;
;TRUCHA;KG;25;;;
;;;;;;
;AGROLMUE;;;;;
;CHIRIMOYA;CJ;0;;;
;FRUTILLA;CJ;10;;;
;MANGO;CJ;10;;;
;PIÑA;CJ;10;;;
;;;;;;
;ARIZTIA +56942193768. RODOLFO;;;;;
;PECHUGA DE POLLO;CJ;2;;;
;TRUTRO DE POLLO;CJ;1;;;
;PECHUGA DE PAVO;CJ;1;;;
;;;;;;
;ASEO TORRES +56995343757 JUAN CARLOS;;;;;
;CLORO;LT;5;;;
;PAPEL HIGUIENICO;DISPLAY;1;;;
;AMONIO CUATERNARIO;LT;5;;;
;BOLSA ASEO 50X70;PACK;2;;;
;BOLSA ASEO 70X90;PACK;2;;;
;BOLSA ASEO 80X120;PACK;10;;;
;BOLSA PREPICADO 20X30;UN;1;;;
;BOLSA PREPICADO 40X60;UN;1;;;
;BOLSA PREPICADO 30X50;UN;1;;;
;PAP ROJO;UN;1;;;
;TOALLA DE PAPEL;DISPLAY;2;;;
;PAÑOS AMARILLO;UN;4;;;
;TRAPEROS;UN;4;;;
;;;;;;
;BENBO;;;;;
;HUEVOS BLANCOS;BANDEJA;6;;;
;HUEVOS COLOR;BANDEJA;6;;;
;;;;;;
;COLUN. +56995450246. ALEJANDRO;;;;;
;LECHE ENTERA;CJ;5;;;
;CREMA DE LECHE;CJ;2;;;
;MANJAR;KG;6;;;
;QUESO RAYADO X 2 K;KG;2;;;
;MANTEQUILLA;KG;10;;;
;;;;;;
;CCU.  tvta23096@ccu.cl;;;;;
;AGUA MINERAL  CON GAS;CJ;5;;;
;AGUA MINERAL SIN GAS;CJ;5;;;
;AGUA BIDON SIN GAS 6 LT;DISPLAY;4;;;
;BILZ;DISPLAY;4;;;
;CANADA DRY;DISPLAY;4;;;
;CANADA DRY CERO;DISPLAY;4;;;
;KEMP PIÑA;DISPLAY;4;;;
;ORANGE CRUSH;DISPLAY;4;;;
;PAP ;DISPLAY;4;;;
;PEPSI ;DISPLAY;4;;;
;PEPSI ZERO;DISPLAY;5;;;
;SEVEN UP;DISPLAY;4;;;
;TONICA;DISPLAY;4;;;
;AUSTRAL CALAFATE;CJ;1;;;
;AUSTRAL LAGER;CJ;1;;;
;CRISTAL;CJ;1;;;
;CRISTAL CERO;CJ;1;;;
;HEINEKEN;CJ;1;;;
;KUNSTMANN LAGER;CJ;1;;;
;KUNSTMANN MIEL;CJ;1;;;
;KUNSTMANN SIN ALCOHOL;CJ;1;;;
;KUNSTMANN SIN FILTRAR;cj;1;;;
;KUNSTMANN TOROBAYO;CJ;2;;;
;SOL;CJ;1;;;
;VIÑA MAR BRUT 3/4;UN;2;;;
;VIÑA MAR BRUT 1/2;UN;1;;;
;1865 CARMENERE;UN;6;;;
;LEYDA CHARDONNAY;UN;0;;;
;LEYDA RESERVA CHARDONNAY;UN;0;;;
;LEYDA RESERVA PINOT;UN;6;;;
;LEYDA RESERVA S. BLANC;UN;6;;;
;LEYDA SAUVIGNON BLANC;UN;0;;;
;TARAPACA CABERNET ETIQUETA NEGRA;UN;6;;;
;TARAPACA CARMENERE;UN;6;;;
;TARAPACA GRAN RESERVA CARMENERE;UN;6;;;
;TARAPACA GRAN RESERVA MERLOT;UN;4;;;
;TARAPACA MERLOT;UN;4;;;
;RAMAZZOTTI;UN;6;;;
;RON HABANA  CLUB 3 AÑOS BLANCO;UN;3;;;
;RON HABANA  CLUB 7 AÑOS;UN;1;;;
;RON HABANA  CLUB RESERVA;UN;2;;;
;RON HABANA  CLUB RESERVA ESPECIAL;UN;2;;;
;PISCO CAMPANARIO;CJ;6;;;
;PISCO MISTRAL 35;CJ;1;;;
;PISCO MISTRAL 40;CJ;1;;;
;PISCO MISTRAL NOBEL;CJ;1;;;
;;;;;;
;CHEF RUBEN DI SOUZA;;;;;
;PASTA DE HUEVO;UN;8;;;
;PASTA DE SEPHIA;UN;0;;;
;MASAS DE 13 CM;UN;200;;;
;;;;;;
;DON CARLOS SAAVEDRA +56992384925;;;;;
;AMARETTO;UN;10;;;
;MANZANILLA;UN;10;;;
;BITTER ROSARD CLASICO;UN;1;;;
;MENTA;UN;10;;;
;PISCO CAMPANARIO  40;CJ;7;;;
;;;;;;
;ECOHOGAR;;;;;
;BIOETANOL;LT;;;;
;;;;;;
;ENVASES EUROPACK;;;;;
;TOALLA DE PAPEL;DISPLAY;5;;;
;SERVILLETAS NEGRAS;CJ;2;;;
;BOMBILLAS;UN;1;;;
;PAPEL ALUMINIO;UN;1;;;
;GUANTES S;UN;1;;;
;GUANTES M;UN;1;;;
;GUANTES L;UN;1;;;
;ALUSA  PLAST;UN;1;;;
;VIRUTILLAS PARRILLA;UN;10;;;
;COFIAS BLANCAS;UN;100;;;
;JABON DESINFECTANTE COCINA;LT;5;;;
;;;;;;
;FRIGOSORNO. +56974219181. MANUEL;;;;;
;CARNE MOLIDA;KG;5;;;
;FILETE X 300 GR;UN;25;;;
